{'x': 319, 'y': 316, 'w': 388, 'h': 321, 'ID': 'person', 'dist': 530.79, 'time': '2023-08-08 18:16:51.088533'}
{'x': 319, 'y': 313, 'w': 385, 'h': 316, 'ID': 'person', 'dist': 515.33, 'time': '2023-08-08 18:16:52.116298'}
{'x': 319, 'y': 313, 'w': 386, 'h': 316, 'ID': 'person', 'dist': 520.45, 'time': '2023-08-08 18:16:53.157785'}
{'x': 275, 'y': 315, 'w': 480, 'h': 312, 'ID': 'person', 'dist': 1146.3, 'time': '2023-08-08 18:16:54.171853'}
{'x': 318, 'y': 314, 'w': 394, 'h': 319, 'ID': 'person', 'dist': 562.57, 'time': '2023-08-08 18:16:55.213514'}
{'x': 276, 'y': 316, 'w': 472, 'h': 314, 'ID': 'person', 'dist': 1081.89, 'time': '2023-08-08 18:16:56.233349'}
{'x': 277, 'y': 318, 'w': 453, 'h': 312, 'ID': 'person', 'dist': 937.23, 'time': '2023-08-08 18:16:57.263852'}
{'x': 275, 'y': 321, 'w': 462, 'h': 319, 'ID': 'person', 'dist': 1004.3, 'time': '2023-08-08 18:16:58.324177'}
{'x': 324, 'y': 380, 'w': 239, 'h': 191, 'ID': 'person', 'dist': 115.64, 'time': '2023-08-08 18:16:59.366149'}
{'x': 303, 'y': 398, 'w': 197, 'h': 165, 'ID': 'person', 'dist': 128.58, 'time': '2023-08-08 18:17:00.385214'}
{'x': 304, 'y': 397, 'w': 200, 'h': 171, 'ID': 'person', 'dist': 125.76, 'time': '2023-08-08 18:17:01.428567'}
{'x': 304, 'y': 398, 'w': 195, 'h': 166, 'ID': 'person', 'dist': 130.62, 'time': '2023-08-08 18:17:02.442378'}
{'x': 285, 'y': 401, 'w': 179, 'h': 149, 'ID': 'person', 'dist': 151.62, 'time': '2023-08-08 18:17:03.487909'}
{'x': 258, 'y': 414, 'w': 56, 'h': 104, 'ID': 'person', 'dist': 590.02, 'time': '2023-08-08 18:17:04.530441'}
{'x': 261, 'y': 412, 'w': 147, 'h': 136, 'ID': 'person', 'dist': 218.5, 'time': '2023-08-08 18:17:04.530860'}
{'x': 258, 'y': 418, 'w': 58, 'h': 101, 'ID': 'person', 'dist': 578.97, 'time': '2023-08-08 18:17:05.558224'}
{'x': 261, 'y': 414, 'w': 143, 'h': 131, 'ID': 'person', 'dist': 229.19, 'time': '2023-08-08 18:17:05.558878'}
{'x': 259, 'y': 420, 'w': 149, 'h': 118, 'ID': 'person', 'dist': 213.35, 'time': '2023-08-08 18:17:06.568504'}
{'x': 256, 'y': 420, 'w': 59, 'h': 93, 'ID': 'person', 'dist': 573.49, 'time': '2023-08-08 18:17:06.569136'}
{'x': 260, 'y': 419, 'w': 143, 'h': 121, 'ID': 'person', 'dist': 229.19, 'time': '2023-08-08 18:17:07.621692'}
{'x': 257, 'y': 420, 'w': 59, 'h': 94, 'ID': 'person', 'dist': 573.49, 'time': '2023-08-08 18:17:07.622408'}
{'x': 262, 'y': 418, 'w': 142, 'h': 125, 'ID': 'person', 'dist': 231.95, 'time': '2023-08-08 18:17:08.629310'}
{'x': 258, 'y': 420, 'w': 59, 'h': 97, 'ID': 'person', 'dist': 573.49, 'time': '2023-08-08 18:17:08.629771'}
